indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2
marine stewardship council certified fisheries,IPBES_GA_4_152_225;IPBES_GA_3_15_329;IPBES_GA3_sup_21,IPBES,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
marine stewardship council engaged fisheries,IPBES_GA_3_72_395,IPBES,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
marine stocks,IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA
marine trophic index (mti),IPBES_GA_1_52_19;IPBES_GA_2.2_59_101;IPBES_GA_3_15_329;IPBES_GA_3_55_389;IPBES_GA2.2_sup_80;IPBES_GA3_sup_22,IPBES,0,ecosystems,NA,State of ecosystems (marine),NA
material flow accounting,GEO_17_20_212,GEO,0,ecosystems,NA,Abiotic conditions,NA
material flow analysis,GEO_17_20_212,GEO,0,ecosystems,NA,Abiotic conditions,NA
material footprint per capita,GBF_T16_C_59,GBF,1,Human assets,Direct drivers,State of economy,Specific mention of over-exploitation and unsustainable use of species/ecosystems
"material footprint, material footprint per capita, and material footprint per gross domestic product",SDG_G8.4.1_103;SDG_G12.2.1_161;IPBES_SUA_sup_8.4.1_47;IPBES_SUA_sup_12.2.1_89,SDG;IPBES,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
material ncp,IPBES_GA_2.2_42_82,IPBES,0,Ecosystem services,NA,Nature contribution,NA
material wealth,IPBES_SUA_4_149_140,IPBES,0,Human assets,NA,Income,NA
maternal mortality ratio,SDG_G3.1.1_28,SDG,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
maximum daytime heat index,IPCC_12_71_692,IPCC,0,ecosystems,NA,Abiotic conditions,NA
maximum fire weather index,IPCC_12_66_682,IPCC,0,Direct drivers,NA,Natural drivers,NA
maximum five-day precipitation,IPCC_sup_22,IPCC,0,ecosystems,NA,Abiotic conditions,NA
maximum number of consecutive days with less than 1 mm of precipitation per day,IPCC_sup_27,IPCC,0,ecosystems,NA,Abiotic conditions,NA
maximum number of consecutive days with more than or equal to 1 mm of precipitation per day,IPCC_sup_28,IPCC,0,ecosystems,NA,Abiotic conditions,NA
maximum one-day precipitation,IPCC_sup_21,IPCC,0,ecosystems,NA,Abiotic conditions,NA
maximum temperatures,IPCC_12_49_649,IPCC,0,ecosystems,NA,Abiotic conditions,NA
mean air temperature,IPCC_11_39_524,IPCC,0,ecosystems,NA,Abiotic conditions,NA
mean annual change in above-ground biomass,IPBES_GA_2.2_37_70,IPBES,0,ecosystems,NA,Change in ecosystems,NA
mean annual precipitation,IPBES_IAS_3_8_84,IPBES,0,ecosystems,NA,Abiotic conditions,NA
mean annual temperature,IPBES_IAS_3_8_84,IPBES,0,ecosystems,NA,Abiotic conditions,NA
mean arctic sea ice area,IPCC_2_57_88,IPCC,0,ecosystems,NA,State of ecosystems,NA
mean body length,IPBES_IAS_4_22_102,IPBES,0,biodiversity,NA,State of biodiversity,NA
mean body mass,IPBES_SUA_2_97_80,IPBES,0,Knowledge systems,biodiversity,ILK,State of biodiversity
mean gsat,IPCC_1_45_19,IPCC,0,ecosystems,NA,Abiotic conditions,NA
mean length of fish,IPBES_GA_1_52_19;IPBES_GA_2.2_70_120,IPBES,0,biodiversity,NA,State of biodiversity,NA
mean polar sea ice extent,IPBES_GA_3_51_381;IPBES_GA3_sup_38,IPBES,0,ecosystems,NA,State of ecosystems,NA
mean species abundance (msa),GBF_GA_CY_38;IPBES_GA_1_52_19;IPBES_GA_2.2_37_70;IPBES_GA_2.2_46_88;IPBES_GA_5_34_243;IPBES_GA2.2_sup_42,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA
mean species abundance (msa) (hotspots),IPBES_GA2.2_sup_43,IPBES,0,biodiversity,NA,State of biodiversity,NA
mean species abundance (msa) (indigenous lands),IPBES_GA2.2_sup_44,IPBES,0,biodiversity,NA,State of biodiversity,NA
measure of income,GEO_22_21_257,GEO,0,Human assets,NA,Income,NA
measured concentrations of o in the upper stratospere,GEO_5_17_41,GEO,0,ecosystems,NA,Abiotic conditions,NA
medicinal species as a fraction of total vascular plant species,IPBES_GA_2.3_39_137,IPBES,0,biodiversity,Knowledge systems,State of biodiversity,ILK
megafaunal range size,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_67,IPBES,0,biodiversity,NA,State of biodiversity,NA
merchandise exports,IPBES_GA_2_24_29,IPBES,0,Human assets,NA,Income,NA
mibid index,IPBES_GA_6_122_285,IPBES,0,ecosystems,Ecosystem services,State of ecosystems (coverage),Nature contribution
migration net,IPBES_GA2.1_sup_26,IPBES,0,Governance,Human well-being,Legislation/governance,Cultural diversity
migratory birds threatened or near threatened on the red list index,IPBES_GA_3_150_436,IPBES,0,biodiversity,biodiversity,State of biodiversity,Species conservation
millenium development goals indicators,GEO_16_15_183,GEO,0,Governance,Human well-being,Legislation/governance,Healthy living conditions
minimum temperature,IPCC_11_44_532,IPCC,0,ecosystems,NA,Abiotic conditions,NA
mobile cellular subscriptions,IPBES_GA2.1_sup_11,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA
monetary benefits received in accordance with applicable internationally agreed access and benefit-sharing instruments,GBF_GC_H_7,GBF,1,Governance,NA,National/international cooperation,NA
monthly drought code fire index,IPCC_12_66_682,IPCC,0,Direct drivers,NA,Natural drivers,NA
monthly maximum value of daily maximum temperature,IPCC_sup_1,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
monthly maximum value of daily minimum temperature,IPCC_sup_4,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
monthly minimum value of daily maximum temperature,IPCC_sup_2,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
monthly minimum value of daily minimum temperature,IPCC_sup_3,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
montreal protocol,IPBES_GA2.1_sup_63,IPBES,0,Governance,NA,National/international cooperation,NA
mortality from unintentional poisoning,GEO_20_7_232,GEO,0,Human well-being,NA,Healthy living conditions,NA
mortality rate attributable to household and ambient air pollution,GEO_20_7_232,GEO,0,Direct drivers,Human well-being,Pollution,Healthy living conditions
"mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",SDG_G3.4.1_37,SDG,1,Human well-being,NA,Healthy living conditions,NA
mortality rate attributed to household and ambient air pollution,GBF_T11_CY_202;SDG_G3.9.1_46,GBF;SDG,1,Human well-being,Direct drivers,Healthy living conditions,Pollution
mortality rate attributed to unintentional poisoning,SDG_G3.9.3_48,SDG,1,Human well-being,Direct drivers,Healthy living conditions,Pollution
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",GBF_T11_C_50;SDG_G3.9.2_47,GBF;SDG,1,Human well-being,Direct drivers,Healthy living conditions,Pollution
mortality rate under 5,IPBES_GA_2_24_29,IPBES,0,Human well-being,NA,Healthy living conditions,NA
mountain glaciers,GEO_4_13_34,GEO,0,ecosystems,NA,State of ecosystems,NA
mountain green cover index,GBF_GA_CY_5;SDG_G15.4.2.a_199;IPBES_SUA_sup_15.4.2_126,GBF;SDG;IPBES,1,ecosystems,NA,State of ecosystems (coverage),NA
multidimensional poverty index,IPBES_GA_3_97_413;IPBES_SUA_4_149_138,IPBES,0,Human assets,NA,Income,NA
municipal solid waste collected and managed,GBF_T7_CY_172,GBF,1,Governance,NA,Legislation/governance,NA
"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",GBF_T7_CY_179,GBF,1,Direct drivers,NA,Pollution,NA
national accounts reflecting state of biodiversity and ecosystem services,IPBES_VA_4_28_109,IPBES,0,Knowledge systems,Ecosystem services,Information on biodiversity,Nature contribution
national funding for resourcing of biological invasions policy and management implementation,IPBES_IAS_6_17_143,IPBES,0,Governance,Direct drivers,Nature-based funding,Invasive alien species
national greenhouse inventories from land use and land use change,GBF_T8_C_42;GBF_T8_CY_182,GBF,1,Direct drivers,NA,Climate change,NA
national oceanic and atmospheric administration annual greenhouse gas index (aggi),GEO_5_18_43,GEO,0,Direct drivers,NA,Pollution,NA
"national recycling rate, tons of material recycled",SDG_G12.5.1_168;IPBES_SUA_sup_12.5.1_95,SDG;IPBES,1,Knowledge systems,NA,Specific information on human-nature relationship,NA
nationally maintained research vessels,GBF_GD_CY_100,GBF,1,Knowledge systems,NA,Information on society and socio-economics,NA
native newcomer species arrive,IPBES_GA_2.2_5_55;IPBES_GA_2.2_65_113,IPBES,0,Knowledge systems,NA,ILK,NA
natural habitat in agriculture,IPBES_GA_2.3_42_143,IPBES,0,ecosystems,NA,State of ecosystems,NA
natural medicinal products and manufactured bio-derived medicines,IPBES_GA_2.3_42_143,IPBES,0,Knowledge systems,NA,Specific information on ILK and IPLC,NA
nature risk index,IPBES_VA_6_64_156,IPBES,0,Direct drivers,NA,Natural drivers,NA
neonatal mortality rate,SDG_G3.2.2_31,SDG,1,Human well-being,NA,Healthy living conditions,NA
net climate feedback,IPCC_7_56_335,IPCC,0,Ecosystem services,NA,Nature contribution,NA
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",SDG_G17.2.1_238;IPBES_SUA_sup_17.2.1_140,SDG;IPBES,1,Governance,NA,National/international cooperation,NA
net primary production,IPBES_GA_2.2_37_70;IPBES_GA_2.2_70_120;IPBES_GA2.2_sup_32,IPBES,0,ecosystems,Ecosystem services,State of ecosystems,Nature contribution
net primary productivity in forests and on cultivated land,IPBES_GA_2.3_39_137,IPBES,0,Ecosystem services,NA,Nature contribution,NA
network of communication channels in times of crisis or disaster,GEO_17_8_200,GEO,0,Knowledge systems,NA,Information on society and socio-economics,NA
new pests and invasive alien species colonize,IPBES_GA_2.2_5_55,IPBES,0,Direct drivers,NA,Invasive alien species,NA
nh3 emissions,GEO_12_16_119,GEO,0,Direct drivers,NA,Pollution,NA
nitrogen (n) loads,IPBES_GA_3_74_399,IPBES,0,Direct drivers,NA,Pollution,NA
nitrogen + phosphate fertilizers (n+p205 total nutrients),IPBES_GA_1_52_19,IPBES,0,Direct drivers,NA,Pollution,NA
nitrogen surplus (tg n),IPBES_GA3_sup_32,IPBES,0,Direct drivers,NA,Pollution,NA
nitrogen use balance,IPBES_GA_1_52_19;IPBES_GA3_sup_25,IPBES,0,Direct drivers,NA,Pollution,NA
nitrogen use efficiency,IPBES_GA_1_52_19,IPBES,0,Direct drivers,NA,Pollution,NA
nitrogenen deposition trends,IPBES_GA2.1_sup_45,IPBES,0,Direct drivers,NA,Pollution,NA
no emissions,GEO_12_16_119,GEO,0,Direct drivers,NA,Pollution,NA
noaa heat index (hi): number of days above 41°c threshold,IPCC_sup_44,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
non declining exploited species,IPBES_GA_1_52_19,IPBES,0,Ecosystem services,Direct drivers,Nature contribution,Specific mention of over-exploitation and unsustainable use of species/ecosystems
non-co2 fossil-fuel emissions,IPCC_4_79_266,IPCC,0,Direct drivers,NA,Climate change,NA
non-monetary benefits arising from applicable international access and benefit-sharing instruments,GBF_GC_H_8,GBF,1,Ecosystem services,Governance,Nature contribution,Nature-based legislation
normalized difference vegetation index (ndvi),IPCC_2_78_126;GEO_3_7_18,IPCC;GEO,0,ecosystems,NA,State of ecosystems (coverage),NA
north atlantic oscillation (nao) index,IPCC_2_84_139;IPCC_3_67_194;IPCC_9_47_438,IPCC,0,ecosystems,NA,Abiotic conditions,NA
northern and southern annular modes (nam and sam),IPCC_4_8_220,IPCC,0,ecosystems,NA,Abiotic conditions,NA
northern annular mode (nam) index,IPCC_2_84_139;IPCC_3_67_194;IPCC_4_26_231;IPCC_4_35_237,IPCC,0,ecosystems,NA,Abiotic conditions,NA
northern hemisphere (mar-apr) snow cover,GEO_2_26_7,GEO,0,ecosystems,NA,Abiotic conditions,NA
northern hemisphere summer monsoon circulation index,IPCC_4_34_236,IPCC,0,ecosystems,NA,Abiotic conditions,NA
northern hemisphere temperature over the last millennium,IPCC_1_67_29,IPCC,0,ecosystems,NA,Abiotic conditions,NA
northernmost location of the treeline,IPCC_2_78_127,IPCC,0,ecosystems,NA,State of ecosystems (configuration),NA
number and coverage of stocks with adaptive management systems/plans,IPBES_GA_1_52_19,IPBES,0,biodiversity,Ecosystem services,Species conservation,Nature contribution
number and proportion of annual export quotas based on population surveys,CITES_G2.2.2_11,CITES,1,Ecosystem services,Governance,Specific monetary valuation of nature contribution,Nature-based legislation
number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,SDG_G2.5.1_22,SDG,1,biodiversity,NA,Genetic diversity,NA
number of alien and invasive taxa per biogeographic region,IPBES_IAS_6_21_146,IPBES,0,Direct drivers,NA,Invasive alien species,NA
number of alien taxa,IPBES_IAS_6_56_150,IPBES,0,Direct drivers,NA,Invasive alien species,NA
number of alliances between cites and relevant international partners to advance cites objective and mainstream conservation and sustainable use of biodiversity,CITES_G5.2.1_51,CITES,1,Governance,NA,National/international cooperation,NA
number of appendix-ii species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,IPBES_SUA_4_66_123,IPBES,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
number of assessments on the red list index,GBF_T21_CY_252,GBF,1,Knowledge systems,NA,Information on biodiversity,NA
"number of automated teller machines (atms) per 100,000 adults",SDG_G8.10.1.b_113,SDG,1,Human assets,NA,State of economy,NA
number of biodiversity papers published,IPBES_GA3_sup_62,IPBES,0,Knowledge systems,Knowledge systems,Information on society and socio-economics,Information on biodiversity
number of biogeographic regions with risk-associated activities,IPBES_IAS_6_21_146,IPBES,0,Direct drivers,ecosystems,Specific mention of over-exploitation and unsustainable use of species/ecosystems,State of ecosystems
number of capacity-building activities delivered to parties,CITES_G3.7.1_31,CITES,1,Governance,NA,National/international cooperation,NA
"number of centres (visitor centres, interpretation centres, education centres) have been established in ramsar sites",RAMSAR_OG4.16_57,RAMSAR,1,Knowledge systems,NA,Specific information on human-nature relationship,NA
number of centres at other wetlands,RAMSAR_OG4.16_58,RAMSAR,1,Knowledge systems,NA,Specific information on human-nature relationship,NA
number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,GBF_GB_CY_57,GBF,1,Ecosystem services,ecosystems,Specific mention of sustainable use of species/ecosystems,Area conservation
number of checkpoint communiques published in the abs clearing-house,GBF_GC_CY_92,GBF,1,Governance,NA,Legislation/governance,NA
number of cites parties that have adopted standard procedures for non-detrimental findings,IPBES_SUA_4_65_122,IPBES,0,Governance,NA,Nature-based legislation,NA
number of cites parties using the cites checklist api,CITES_G3.8.1_34,CITES,1,Governance,NA,National/international cooperation,NA
number of cites parties with increased capacity,IPBES_SUA_4_68_125,IPBES,0,Governance,NA,National/international cooperation,NA
number of cites-listed species for which parties have designed/implemented relevant sustainable wildlife management policies,CITES_G4.1.1_35,CITES,1,biodiversity,Governance,Species conservation,Nature-based legislation
number of cites-listed species for which parties have put in place actions that support sustainable use,CITES_G1.5.2_6,CITES,1,Ecosystem services,Governance,Specific mention of sustainable use of species/ecosystems,Nature-based legislation
number of cms daughter agreements,GBF_T4_CY_150,GBF,1,Governance,NA,Nature-based legislation,NA
"number of commercial bank branches per 100,000 adults",SDG_G8.10.1.a_112,SDG,1,Human assets,NA,State of economy,NA
"number of companies disclosing their biodiversity-related risks, dependencies and impacts",GBF_T15_H_39,GBF,1,Knowledge systems,NA,Specific information on human-nature relationship,NA
number of companies publishing sustainability reports,GBF_T15_CY_215;SDG_G12.6.1_169;IPBES_SUA_sup_12.6.1_96,GBF;SDG;IPBES,1,Knowledge systems,Ecosystem services,Specific information on human-nature relationship,Specific mention of sustainable use of species/ecosystems
number of consecutive dry days (cdd),IPCC_11_60_550,IPCC,0,ecosystems,NA,Abiotic conditions,NA
number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,CITES_G5.1.3_48,CITES,1,Governance,Direct drivers,National/international cooperation,Specific mention of over-exploitation and unsustainable use of species/ecosystems
number of cop side-events where parties present information and tools relevant to the implementation of cites,CITES_G2.2.6_15,CITES,1,Governance,NA,National/international cooperation,NA
number of countries (and number of instruments) with payments for ecosystem services (pes) programmes,GBF_T19_CY_245,GBF,1,Ecosystem services,Governance,Specific monetary valuation of nature contribution,Nature-based funding
"number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species",GBF_T6_H_23,GBF,1,Governance,Direct drivers,Nature-based funding,Invasive alien species
number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention,CITES_G5.3.2_53,CITES,1,Governance,Governance,National/international cooperation,Nature-based funding
