indicator_orig,indic_id,indicator_harmonized
Northern Hemisphere summer monsoon circulation INDEX,IPCC_4_34_236,northern hemisphere summer monsoon circulation index
Northern Annular Mode NAM Index,IPCC_4_35_237,northern annular mode (nam) index
El Niño–Southern Oscillation (ENSO) Bjerknes Index,IPCC_4_37_241,el niño-southern oscillation (enso) index bjerknes index
changes in mean precipitation,IPCC_4_49_249,changes in mean precipitation
contrast of mean precipitation between dry and wet regions and between dry and wet seasons,IPCC_4_49_249,contrast of mean precipitation between dry and wet regions and between dry and wet seasons
Global Land Monsoon Precipitation INDEX,IPCC_4_51_250,land monsoon precipitation index
Annular Mode Index,IPCC_4_51_251,annular mode index
Land-Use CO2 Emissions,IPCC_4_79_266,land-use co2 emissions
fossil CO2 Emissions,IPCC_4_79_266,fossil co2 emissions
Non-CO2 fossil fuel emissions,IPCC_4_79_266,non-co2 fossil-fuel emissions
Land-use related non-CO2 emissions,IPCC_4_79_266,land-use related non-co2 emissions
CO2 Concentration,IPCC_4_79_266,co2 concentration
Ice Core Measurements,IPCC_5_14_270,ice core measurements
Sink rate,IPCC_5_19_272,sink rate
El Niño–Southern Oscillation (ENSO) Index,IPCC_5_36_278,el niño-southern oscillation (enso) index
15N/14N isotope ratio,IPCC_5_36_279,15n/14n isotope ratio
position of 15N atom in atmospheric N2O,IPCC_5_36_279,position of 15n atom in atmospheric n2o
Atmospheric inversions,IPCC_5_40_281,atmospheric inversions
Interannual variability of primary production (PP),IPCC_5_57_287,interannual variability of primary production (pp)
Global carbon budget,IPCC_5_70_289,global carbon budget
Global dust deposition,IPCC_6_16_296,global dust deposition
global annual mean tropospheric ozone burden,IPCC_6_22_300,global annual mean tropospheric ozone burden
Tropospheric NO2 abundance,IPCC_6_23_302,tropospheric no2 abundance
Satellite Formaldehyde (HCHO) observations,IPCC_6_26_304,satellite formaldehyde (hcho) observations
Sulphate in precipitation,IPCC_6_30_309,sulphate in precipitation
Surface warming,IPCC_6_56_315,surface warming
Sectoral emissions density,IPCC_6_63_319,sectoral emissions density
population-weighted PM2.5 concentrations,IPCC_6_73_321,population-weighted pm2.5 concentrations
population-weighted ozone concentrations,IPCC_6_73_321,population-weighted ozone concentrations
transient climate response TCR,IPCC_7_9_323,transient climate response tcr
equilibrium climate sensitivity ECS,IPCC_7_9_323,equilibrium climate sensitivity ecs
Surface turbulent fluxes,IPCC_7_17_328,surface turbulent fluxes
Aerosol Index,IPCC_7_29_329,aerosol index
GHS effective radiative forcing,IPCC_7_44_330,ghs effective radiative forcing
transient climate response TCR,IPCC_7_44_330,transient climate response tcr
Antarctic Ice Sheet loss,IPCC_7_55_334,antarctic ice sheet loss
Net climate feedback,IPCC_7_56_335,net climate feedback
Planck temperature response,IPCC_7_56_335,planck temperature response
Sea Surface Temperature SST,IPCC_7_67_343,sea surface temperature (sst)
Global Energy Budget,IPCC_7_77_351,global energy budget
global surface temperature,IPCC_7_82_356,global mean surface temperature (gmst)
TOA energy budget,IPCC_7_82_356,toa energy budget
profile of effective radiative forcing (ERF),IPCC_7_90_359,profile of effective radiative forcing (erf)
emission of particular compounds,IPCC_7_90_359,emission of particular compounds
radiative forcing,IPCC_7_91_360,radiative forcing
absolute global forcing potential (AGFP),IPCC_7_91_360,absolute global forcing potential (agfp)
global surface temperature,IPCC_7_91_360,global mean surface temperature (gmst)
absolute global temperature change potential (AGTP),IPCC_7_91_360,absolute global temperature change potential (agtp)
changes in precipitation frequency and intensity,IPCC_8_27_367,changes in precipitation frequency and intensity
Precipitation,IPCC_8_28_370,precipitation
Snowfall,IPCC_8_28_371,snowfall
Leaf Area Index LAI,IPCC_8_30_372,leaf area index (lai)
Tree ring reconstructions,IPCC_8_33_374,tree rings
Soil Moisture,IPCC_8_33_375,soil moisture
South Pacific Convergence Zone (SPCZ),IPCC_8_39_378,south pacific convergence zone (spcz)
Inter-tropical Convergence Zone (ITCZ) narrowing,IPCC_8_39_378,inter-tropical convergence zone (itcz) narrowing
Rainfall,IPCC_8_42_382,rainfall
poleward shifts in the South Atlantic Convergence Zone (SACZ),IPCC_8_45_390,poleward shifts in the south atlantic convergence zone (sacz)
land rainfall over MC,IPCC_8_46_393,land rainfall over mc
marine cloudiness over MC,IPCC_8_46_393,marine cloudiness over mc
surface moisture flux convergence,IPCC_8_46_393,surface moisture flux convergence
Blocking Index,IPCC_8_47_395,blocking index
Water Vapour Residence Time,IPCC_8_53_397,water vapour residence time
Plant Water Use Efficiency (WUE),IPCC_8_65_401,plant water use efficiency (wue)
Leaf area Index,IPCC_8_65_401,leaf area index (lai)
Palmer Drought Severity INDEX,IPCC_8_66_403,palmer drought severity index (pdsi)
Sea Surface Temperature,IPCC_8_71_406,sea surface temperature (sst)
Rainfall variability,IPCC_8_77_414,rainfall variability
Tropical precipitation,IPCC_8_83_420,tropical precipitation
atmospheric internal variability,IPCC_8_88_422,atmospheric internal variability
Sea surface temperature (SST),IPCC_8_88_422,sea surface temperature (sst)
volcanic eruptions,IPCC_8_90_424,volcanic eruptions
global surface air temperature (GSAT),IPCC_9_11_426,global surface air temperature (gsat)
Sea surface temperature (SST),IPCC_9_27_430,sea surface temperature (sst)
Ocean heat content OHC,IPCC_9_37_432,ocean heat content ohc
aRCTIC SEA ICE AREA,IPCC_9_37_433,arctic sea ice area
Summer North Atlantic Oscilation Index,IPCC_9_47_438,north atlantic oscillation (nao) index
Greenland Blocking Index,IPCC_9_47_438,greenland blocking index
Bedrock topography,IPCC_9_48_440,bedrock topography
Grounding line retreat,IPCC_9_55_443,grounding line retreat
Retreat of Ice Sheet,IPCC_9_59_445,retreat of ice sheet
Glaciar mass loss,IPCC_9_65_447,glacier mass loss
Lake sediments,IPCC_9_66_448,lake sediments
Speleotherm records,IPCC_9_71_451,speleotherm records
Leaf area Index,IPCC_9_76_452,leaf area index (lai)
Tide gauge,IPCC_9_85_462,tide gauge
global mean sea level (GMSL),IPCC_9_96_465,global mean sea level (gmsl)
Power dissipation INDEX,IPCC_9_104_471,power dissipation index
Spatiotemporal variability of meteorological parameters,IPCC_10_24_481,spatiotemporal variability of meteorological parameters
Soil moisture,IPCC_10_31_483,soil moisture
leaf area index,IPCC_10_31_483,leaf area index (lai)
surface albedo,IPCC_10_31_483,surface albedo
Sedimentary records,IPCC_10_56_492,sedimentary records
Atlantic Multi-decadal Variability AMV,IPCC_10_58_493,atlantic multi-decadal variability (amv) index
temperature,IPCC_10_77_504,temperature
Extreme temperatures,IPCC_11_24_511,extreme temperatures
Daily precipitation,IPCC_11_25_512,daily precipitation
Daily temperature,IPCC_11_25_512,daily temperature
Daily temperature,IPCC_11_37_520,daily temperature
mean air temperature,IPCC_11_39_524,mean air temperature
"Changes in the number of warm nights, warm days, cold nights, and cold days",IPCC_11_40_526,"changes in the number of warm nights, warm days, cold nights, and cold days"
Warm spell duration index (WSDI),IPCC_11_40_526,warm spell duration index (wsdi)
Combined extreme index (CEI),IPCC_11_40_527,combined extreme index (cei)
Minimum temperature,IPCC_11_44_532,minimum temperature
reduction in post-volcanic eruption extreme precipitation,IPCC_11_50_537,reduction in post-volcanic eruption extreme precipitation
Simple Daily Intensity INDEX (SDII),IPCC_11_50_537,simple daily intensity index (sdii)
Highest five day precipitation amount (Rx5day),IPCC_11_52_540,highest five day precipitation amount (rx5day)
Highest one day precipitation amount (rx1day),IPCC_11_52_540,highest one day precipitation amount (rx1day)
days of heavy precipitation,IPCC_11_53_541,days of heavy precipitation
annual precipitation from daily precipitation > 95th percentile (r95p),IPCC_11_53_541,annual precipitation from daily precipitation > 95th percentile (r95p)
Standardized Precipitation Index (SPI),IPCC_11_58_543,standardized precipitation index (spi)
Consecutive dry days (CDD),IPCC_11_58_543,consecutive dry days (cdd)
Precipitation deciles and percentiles,IPCC_11_58_543,precipitation deciles and percentiles
Potential evaporation anomalies,IPCC_11_58_543,potential evaporation anomalies
Evaporative Demand Drought Index (EDDI),IPCC_11_58_543,evaporative demand drought index (eddi)
Soil moisture anomalies (SMA),IPCC_11_58_543,soil moisture anomalies
Standardized Soil Moisture Index (SSMI),IPCC_11_58_543,standardized soil moisture index (ssmi)
Standardized Runoff Index (SRI),IPCC_11_58_543,standardized runoff index (sri)
Standardized Streamflow Index (SSI),IPCC_11_58_543,standardized streamflow index (ssi)
threshold level methods,IPCC_11_58_543,threshold level methods
Standardized Groundwater Index (SGI),IPCC_11_58_543,standardized groundwater index (sgi)
Standardized Precipitation Evapotranspiration Index (SPEI),IPCC_11_58_543,standardized precipitation evapotranspiration index (spei)
Palmer Drought Severity Index (PDSI),IPCC_11_58_543,palmer drought severity index (pdsi)
precipitation deficits,IPCC_11_58_544,precipitation deficits
excess of atmospheric evaporative demand (AED),IPCC_11_58_544,excess of atmospheric evaporative demand (aed)
soil moisture deficits,IPCC_11_58_544,soil moisture deficits
hydrological deficits,IPCC_11_58_544,hydrological deficits
atmospheric evaporative demand (AED),IPCC_11_60_547,atmospheric evaporative demand (aed)
Palmer Drought Severity INDEX (PDSI),IPCC_11_60_549,palmer drought severity index (pdsi)
Standardized Precipitation Evapotranspiration INDEX (SPEI),IPCC_11_60_549,standardized precipitation evapotranspiration index (spei)
standardized precipitation index,IPCC_11_60_550,standardized precipitation index (spi)
number of consecutive dry days (CDD),IPCC_11_60_550,number of consecutive dry days (cdd)
total soil moisture,IPCC_11_60_550,total soil moisture
soil moisture-based drought events,IPCC_11_60_550,soil moisture-based drought events
surface soil moisture,IPCC_11_60_550,surface soil moisture
water-balance estimates,IPCC_11_60_550,water-balance estimates
changes in low flows,IPCC_11_60_550,changes in low flows
changes in mean streamflow,IPCC_11_60_550,changes in mean streamflow
pan evaporation measurements,IPCC_11_61_551,pan evaporation measurements
Penman-Monteith AED (atmospheric evaporative demand),IPCC_11_61_551,penman-monteith aed (atmospheric evaporative demand)
Genesis Potential INDEX,IPCC_11_78_568,genesis potential index
increase in global TC maximum surface wind speeds,IPCC_11_79_569,increase in global tc maximum surface wind speeds
power dissipation INDEX,IPCC_11_79_569,power dissipation index
Accumulated Cyclone Energy (ACE),IPCC_11_79_569,accumulated cyclone energy (ace)
Consecutive Dry Days (CDD),IPCC_11_93_579,consecutive dry days (cdd)
standardized runoff index,IPCC_11_94_580,standardized runoff index (sri)
Heat Index (HI),IPCC_12_7_581,heat index (hi)
daily maximum tempreature above 35°C,IPCC_12_11_589,daily maximum tempreature above 35°c
Climate velocity,IPCC_12_14_593,climate velocity
accumulated seasonal heat,IPCC_12_14_594,accumulated seasonal heat
Extreme canopy temperatures,IPCC_12_15_596,extreme canopy temperatures
2 m air temperatures,IPCC_12_15_596,2 m air temperatures
heat stress (humidity and temperature),IPCC_12_15_596,heat stress (humidity and temperature)
10-day  cumulative precipitation,IPCC_12_17_597,10-day cumulative precipitation
precipitation intensity-duration thresholds,IPCC_12_17_598,precipitation intensity-duration thresholds
thresholds related to antecedent wet periods,IPCC_12_17_598,thresholds related to antecedent wet periods
thresholds related to antecedent extreme rainfall intensities,IPCC_12_17_598,thresholds related to antecedent extreme rainfall intensities
Changes in soil moisture,IPCC_12_17_599,changes in soil moisture
