odd,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2,sources_old
,genuine progress indicator,GA_6_139_289;VA_2_8_10;VA_2_38_29;VA_5_78_136;VA_6_21_143;IAS_6_85_153,IPBES,0,Human well-being,Healthy living conditions,NA,NA,IPBES
,geographical overlay of linguistic diversity and biodiversity,GA_2.3_39_137,IPBES,0,Knowledge systems,Information on society and socio-economics,Knowledge systems,Information on biodiversity,IPBES
,ghg changes,IPCC_3_17_173,IPCC,0,Direct drivers,Climate change,NA,NA,IPCC
,ghg emissions,GEO_5_17_41;GEO_12_18_122;IPBES_GA2.1_sup_41;IPBES_GA2.1_sup_46,IPBES;GEO,0,Direct drivers,Pollution,NA,NA,IPBES;GEO
,ghg emissions change,NA,NA,NA,Direct drivers,Pollution,NA,NA,IPBES
,ghg emissions from agriculture,GEO_17_9_201,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,ghs effective radiative forcing,IPCC_7_44_330,IPCC,0,Direct drivers,Pollution,NA,NA,IPCC
,gini index,GA_5_80_256,IPBES,0,Human well-being,Equity,NA,NA,IPBES
,glacial mass balance,GA_3_51_381;IPBES_GA3_sup_37,IPBES,0,ecosystems,Change in ecosystems,NA,NA,IPBES
,glaciar mass loss,IPCC_9_65_447,IPCC,0,ecosystems,Change in ecosystems,NA,NA,IPCC
,glacier areal and mass changes/loss rate,IPCC_2_60_95,IPCC,0,ecosystems,Change in ecosystems,NA,NA,IPCC
,glacier mass and extent,IPCC_2_26_47,IPCC,0,ecosystems,Change in ecosystems,NA,NA,IPCC
,glacier mass balance,GEO_2_26_7,GEO,0,ecosystems,Change in ecosystems,NA,NA,GEO
,glacier mass loss,IPCC_1_13_4,IPCC,0,ecosystems,Change in ecosystems,NA,NA,IPCC
,global annual mean tropospheric ozone burden,IPCC_6_22_300,IPCC,0,Direct drivers,Climate change,ecosystems,Abiotic conditions,IPCC
,global atmospheric co levels,GEO_7_7_63,GEO,0,ecosystems,Abiotic conditions,NA,NA,GEO
,global bird richness (csar),IPBES_GA2.2_sup_56,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,global capacity,GEO_13_14_129,GEO,0,Knowledge systems,Specific information on human-nature relationship,NA,NA,GEO
,global carbon budget,IPCC_5_70_289,IPCC,0,Ecosystem services,Nature contribution,NA,NA,IPCC
,global climate risk index,GA_1_52_19,IPBES,0,Direct drivers,Climate change,NA,NA,IPBES
,global coral reef extent,GBF_GA_CY_13,GBF,1,biodiversity,State of biodiversity,NA,NA,GBF
,global cover of mangroves,GA_2.2_91_124,IPBES,0,ecosystems,State of ecosystems (coverage),NA,NA,IPBES
,global dust deposition,IPCC_6_16_296,IPCC,0,Direct drivers,Climate change,Direct drivers,Pollution,IPCC
,global ecosystem restoration index,GBF_T2_CY_119;GA_1_52_19,GBF;IPBES,1,ecosystems,Area conservation,NA,NA,IPBES;GBF
,global effort in bottom-trawling,GA_1_52_19;GA_4_152_225;GA_3_15_329;IPBES_GA3_sup_24,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,global energy budget,IPCC_1_38_17;IPCC_7_77_351,IPCC,0,Governance,Legislation/governance,NA,NA,IPCC
,global environmental impacts of consumption,GBF_T16_C_60,GBF,1,Direct drivers,Land conversion,NA,NA,GBF
,global forest-specialist bird richness (csar),IPBES_GA2.2_sup_57,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,"global funding committed towards environmental policy, laws, regulations and economic instruments",IPBES_GA3_sup_68,IPBES,0,Governance,Legislation/governance,NA,NA,IPBES
,global funding for resourcing of biological invasions policy and management implementation,IAS_6_17_143,IPBES,0,biodiversity,Invasive alien species,Governance,Nature-based funding,IPBES
,global greening/browning,IPCC_2_26_47,IPCC,0,Direct drivers,Climate change,NA,NA,IPCC
,global human settlement layer (ghsl),GEO_3_14_30,GEO,0,Knowledge systems,Information on society and socio-economics,NA,NA,GEO
,global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,GBF_GD_CY_102,GBF,1,Human assets,Information on society and socio-economics,NA,NA,GBF
,global index on indigenous peoples' well-being,VA_3_63_79,IPBES,0,Knowledge systems,Specific information on ILK and IPLC,NA,NA,IPBES
,global land precipitation,IPCC_4_7_219,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,global linguistic diversity index and language threat level,GA_1_52_19,IPBES,0,Knowledge systems,Specific information on ILK and IPLC,NA,NA,IPBES
,global mammal and bird species remaining,GA_2.2_37_70;IPBES_GA2.2_sup_58,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
x,global mammal and bird species remaning,,IPBES,0,,,,,
,global mean ocean surface ph,IPCC_4_8_220,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,global mean sea level (gmsl),IPCC_1_16_6;IPCC_9_96_465,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
,global mean surface temperature (gmst),IPCC_1_16_6;IPCC_1_47_20;IPCC_2_8_35,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,global monsoons,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,global precipitation climatology centre (gpcc) v8,IPCC_1_13_4,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,global saltmarsh extent,GBF_GA_CY_15,GBF,1,ecosystems,State of ecosystems,NA,NA,GBF
,global scale ecosystem carbon storage,GA_4_87_186,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,global seagrass extent (seagrass cover and composition),GBF_GA_CY_14,GBF,1,biodiversity,State of biodiversity,NA,NA,GBF
,global surface air temperature (gmst),IPCC_1_13_4,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,global surface air temperature (gsat),IPCC_4_7_219;IPCC_9_11_426,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,global surface temperature,IPCC_7_82_356;IPCC_7_91_360,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,global temperature,IPCC_1_58_23,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,global temperature increase,GEO_4_20_39,GEO,0,Direct drivers,Climate change,Direct drivers,Natural drivers,GEO
,global temperature potential,GEO_12_18_124,GEO,0,ecosystems,Abiotic conditions,NA,NA,GEO
,global temperatures,IPCC_1_92_33,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,global vegetation cover,IPCC_2_43_71,IPCC,0,ecosystems,State of ecosystems (coverage),NA,NA,IPCC
,global vegetation health products,GBF_GA_CY_26,GBF,1,Ecosystem services,Nature contribution,NA,NA,GBF
,global warming potential index,GEO_12_18_122,GEO,0,Direct drivers,Climate change,NA,NA,GEO
,globalization index,GA_2_24_29;IPBES_GA2.1_sup_2,IPBES,0,Human assets,Information on society and socio-economics,NA,NA,IPBES
,globally available combined bathy/topo,IPBES_GA2.3_sup_86,IPBES,0,ecosystems,Abiotic conditions,NA,NA,IPBES
,globally available continental shelf,IPBES_GA2.3_sup_88,IPBES,0,ecosystems,State of ecosystems (marine),NA,NA,IPBES
,globally available data for waves and wind,IPBES_GA2.3_sup_87,IPBES,0,ecosystems,Abiotic conditions,Knowledge systems,NA,IPBES
,governance index,SUA_6_77_200,IPBES,0,Governance,Legislation/governance,NA,NA,IPBES
,grass/fodder (kg),IPBES_GA2.3_sup_185,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,grassland and savannah extent,GBF_GA_CY_4,GBF,1,ecosystems,State of ecosystems,NA,NA,GBF
,green consumption,GA_3_26_355,IPBES,0,Ecosystem services,Nature contribution,Human well-being,Healthy living conditions,IPBES
,green gross domestic product,VA_6_22_145,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,green space in cities,IPBES_GA2.3_sup_252,IPBES,0,Human well-being,Healthy living conditions,NA,NA,IPBES
,green status of species index (pollinators),GBF_GB_CY_60,GBF,1,biodiversity,State of biodiversity,Ecosystem services,Nature contribution,GBF
,green status of species index,GBF_T4_C_28,GBF,1,biodiversity,State of biodiversity,NA,NA,GBF
,greenhouse gas emissions,GA_2_83_42;GEO_4_20_39,IPBES;GEO,0,Direct drivers,Climate change,Direct drivers,Pollution,IPBES;GEO
,greenhouse gas index (national oceanic and atmospheric administration),GEO_2_23_6,GEO,0,Direct drivers,Climate change,NA,NA,GEO
,greenland blocking index,IPCC_9_47_438,IPCC,0,Direct drivers,Climate change,NA,NA,IPCC
,greenland ice sheet fluctuations,IPCC_2_60_96,IPCC,0,ecosystems,Change in ecosystems,NA,NA,IPCC
,gross domestic product,GA_1_19_6;GA_2_20_26;GA_2_24_29;GA_6_139_289;SUA_1_11_4;SUA_4_149_137;VA_2_10_12;VA_2_38_29;VA_5_78_136;VA_6_61_155;IAS_2_5_11;IAS_3_8_84;IAS_3_34_90;IAS_6_85_153;IPBES_GA2.1_sup_1;IPBES_GA2.1_sup_29,IPBES,0,Human assets,State of economy,NA,NA,IPBES
,gross ecosystem product,VA_4_89_124,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,gross national happiness index,GA_1_19_6;GA_5_69_253;GA_6_140_290;SUA_1_12_5;VA_2_29_20;IAS_6_85_153,IPBES,0,Human well-being,Wellness,NA,NA,IPBES
,gross national happiness index of bhutan,VA_6_21_143,IPBES,0,Human well-being,Wellness,NA,NA,IPBES
,gross national product,IAS_6_85_153,IPBES,0,Human assets,State of economy,NA,NA,IPBES
,gross value added (gva),IPBES_GA2.3_sup_175,IPBES,0,Human assets,State of economy,NA,NA,IPBES
,ground subsidence,IPCC_2_63_102,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,grounding line retreat,IPCC_9_55_443,IPCC,0,ecosystems,Change in ecosystems,NA,NA,IPCC
,growing degree days,IPCC_12_46_648,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",IPCC_sup_16,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,growing season of terrestrial biota,IPCC_2_26_47,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
x,growth in human appropriation of net primary productivity,,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,growth in information relevant to informing policy on invasive alien species prevention and control,IAS_6_11_138;IAS_6_119_174,IPBES,0,Direct drivers,Invasive alien species,Knowledge systems,Information on biodiversity,IPBES
,growth in marine species occurrence records accessible through ocean biodiversity information system (obis),GBF_T21_CY_248,GBF,1,Knowledge systems,Information on biodiversity,NA,NA,GBF
,growth in number of records and species in the living planet index database,GBF_T21_CY_246,GBF,1,Knowledge systems,Information on biodiversity,NA,NA,GBF
,growth rates,IAS_4_64_104,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,growth rates of household expenditure or income per capita among the bottom 40 percent of the population and the total population,IPBES_SUA_sup_10.1.1_70;SDG_G10.1.1_129,IPBES;SDG,0,Knowledge systems,Information on society and socio-economics,NA,NA,IPBES;SDG
x,growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,,,1,,,,,
,gums (kg),IPBES_GA2.3_sup_188,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,habitat area and quality,GA_4_34_176,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,habitat conditions,SUA_4_89_132,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,habitat distributional range,GBF_T2_CY_114,GBF,1,ecosystems,State of ecosystems,NA,NA,GBF
,habitat loss,GEO_6_8_49,GEO,0,ecosystems,Change in ecosystems,NA,NA,GEO
,habitat patches located within marine protected areas or integrated coastal zone management (iczm),GBF_T1_CY_106,GBF,1,ecosystems,State of ecosystems (marine),NA,NA,GBF
,habitat quality,SUA_2_95_77,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,hadley circulation cell,IPCC_3_37_179,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,hadley/walker circulation,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,hallow coral reefs,GA_2.2_91_124,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,happiness,VA_3_41_70,IPBES,0,Human well-being,Wellness,NA,NA,IPBES
,happy planet index,GA_5_69_253;GA_5_108_263,IPBES,0,Human well-being,Wellness,NA,NA,IPBES
,happyness,IPBES_GA2.3_sup_259,IPBES,0,Human well-being,Wellness,NA,NA,IPBES
,hard coral cover and composition,GBF_GA_CY_12,GBF,1,biodiversity,State of biodiversity,NA,NA,GBF
,harvest intensity,SUA_2_95_77,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,hazardous waste,IPBES_SUA_sup_12.4.2.a_93;SDG_G12.4.2.a_166;GBF_T7_CY_172,GBF;IPBES;SDG,1,Direct drivers,Pollution,,,
x,hazardous waste generated per capita,,,,Direct drivers,Pollution,NA,NA,IPBES;SDG
x,hazardous waste generation,,,1,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,GBF
,health,GEO_22_21_257,GEO,0,Human well-being,Healthy living conditions,Human assets,Coverage of basic needs,GEO
,health associated with intake of pollinator dependent foods,GA_2.3_42_143,IPBES,0,Human well-being,Healthy living conditions,Direct drivers,Pollution,IPBES
,health benefits provide by companion animals,IPBES_GA2.3_sup_212,IPBES,0,Human well-being,Healthy living conditions,Ecosystem services,Nature contribution,IPBES
,health condition and body size of wild animals decrease,GA_2.2_5_55,IPBES,0,biodiversity,Change in biodiversity,NA,NA,IPBES
,health of the forest,GA_2.3_41_142,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,health of the soil,GA_2.3_40_140,IPBES,0,ecosystems,Abiotic conditions,NA,NA,IPBES
,health worker density and distribution,SDG_G3.c.1_53,SDG,1,Human well-being,Healthy living conditions,Human assets,Coverage of basic needs,SDG
,heat index (hi),IPCC_12_7_581;IPCC_12_27_618;IPCC_12_49_649;IPCC_12_85_724,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,heat stress (humidity and temperature),IPCC_12_15_596,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,heat stress index,IPCC_12_54_663,IPCC,0,Direct drivers,Climate change,NA,NA,IPCC
,heating degree day index,IPCC_12_56_664,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,heating degree days below 15.5°c,IPCC_sup_45,IPCC,0,ecosystems,Abiotic conditions,,,
,hemp yields (t/ha/year),IPBES_GA2.3_sup_201,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,"hepatitis b incidence per 100,000 population",SDG_G3.3.4_35,SDG,1,Human assets,Coverage of basic needs,NA,NA,SDG
,"high blood pressure, smoking, low birth weight, high levels of blood sugar",GEO_5_19_45,GEO,0,Human well-being,Healthy living conditions,NA,NA,GEO
,high body mass index,GEO_5_19_45,GEO,0,biodiversity,State of biodiversity,NA,NA,GEO
,highest five day precipitation amount (rx5day),IPCC_11_52_540,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,highest one day precipitation amount (rx1day),IPCC_11_52_540,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,historic land use change since 1970,GA_2.3_53_152,IPBES,0,Direct drivers,Land conversion,NA,NA,IPBES
,holistic health model,VA_3_63_79,IPBES,0,Human well-being,Wellness,NA,NA,IPBES
,how much kw hrs that are dependent on water (irrigated area),IPBES_GA2.3_sup_68,IPBES,0,Human assets,Infrastructure (build-up area),,,
x,how much kw hrs that are dependent on water ag (irrigated area),NA,NA,NA,Human assets,Infrastructure (build-up area),NA,NA,IPBES
,human appropriation of fresh water,GA_3_15_329;IPBES_GA3_sup_14,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
x,human appropriation of fresh water (water footprint) (thousand km3),,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,human appropriation of net primary productivity,GBF_T14_CY_209;GA_1_52_19;VA_2_38_29;IPBES_GA3_sup_13;GA_3_26_355,GBF;IPBES,1,Ecosystem services,Nature contribution,NA,NA,IPBES;GBF
,human development index (hdi),GA_1_19_6;GA_1_31_9;GA_2_24_29;GA_2_22_30;GA_5_68_252;GA_3_77_402;GA_3_97_413;SUA_1_12_5;VA_5_78_136;IAS_2_18_24,IPBES,0,Knowledge systems,Information on society and socio-economics,Human well-being,Wellness,IPBES
,human footprint,GA_2.2_62_105,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,human mobility to access different natural habitats for outdoor recreation,IPBES_GA2.3_sup_246,IPBES,0,Human well-being,Recreation,NA,NA,IPBES
,human population density,IAS_3_8_84,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA,IPBES
,human population size,IAS_2_5_11,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA,IPBES
,"human well-being: care, mental health, cultural security, life-satisfaction",IPBES_GA2.3_sup_242,IPBES,0,Human well-being,Wellness,,,
,humidity,IPCC_12_62_673,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,hunger,IPBES_GA2.3_sup_182,IPBES,0,Human assets,Coverage of basic needs,Human well-being,Healthy living conditions,IPBES
,hunting success,SUA_2_97_80,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,hydrological deficits,IPCC_11_58_544,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,ice core measurements,IPCC_5_14_270,IPCC,0,ecosystems,State of ecosystems,Direct drivers,Climate change,IPCC
,ice core records,IPCC_2_58_90,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
,ice cores,IPCC_2_63_105,IPCC,0,ecosystems,State of ecosystems,Direct drivers,Climate change,IPCC
,ideas and products mimicking or inspired by nature,GA_2.3_42_143,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA,IPBES
,identity value,IPBES_GA2.3_sup_258,IPBES,0,Human well-being,Equity,NA,NA,IPBES
,identity value - rural and iplc,GA_2.3_42_143,IPBES,0,Human well-being,Wellness,NA,NA,IPBES
,identity value - urban,GA_2.3_42_143,IPBES,0,Human well-being,Wellness,NA,NA,IPBES
,illegal trade by cites species classification,GBF_T5_CY_160,GBF,1,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,GBF
,impact of agricultural habitat conversion on birds,SUA_4_42_113,IPBES,0,Direct drivers,Land conversion,NA,NA,IPBES
,"impact of alien species on sensitive places, species and functions",IAS_6_97_160,IPBES,0,Direct drivers,Invasive alien species,NA,NA,IPBES
,impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,GEO_15_19_169,GEO,0,ecosystems,State of ecosystems,NA,NA,GEO
,implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF_T5_CY_163,GBF,1,Governance,Nature-based legislation,NA,NA,GBF
,implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,SDG_G12.b.1_173;IPBES_SUA_sup_12.b.1_100,SDG;IPBES,1,Governance,Legislation/governance,NA,NA,IPBES;SDG
