indicators_harmonized,ga,sua,va,ias,ipbes,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
proportion of individuals using the internet,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,National/international cooperation,NA
worldwide weighted tariff-average,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
developing countries’ and least developed countries’ share of global exports,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,NA
"weighted average tariffs faced by developing countries, least developed countries and small island developing states",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
macroeconomic dashboard,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,NA
number of countries with mechanisms in place to enhance policy coherence of sustainable development,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
amount in united states dollars committed to public-private partnerships for infrastructure,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
statistical capacity indicator for sustainable development goal monitoring,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
proportion of countries that have conducted at least one population and housing census in the last 10 years,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
proportion of countries that have achieved 100 per cent birth registration and 80 per cent death registration,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
the number of parties that are in category 1 under the national legislation project,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the number of parties that have designated management authorities and scientific authorities,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the number of parties subject to cites recommendations on trade,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the number of parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with article vi of the convention,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the number of parties making use of the simplified procedures provided for in resolution conf.12.3 (rev.cop16),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the number and proportion of species that have been found to meet the criteria contained in resolution conf.9.24 or its successors. this includes both the periodic review and amendment proposals,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the population status of appendix-ii species",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the trends and impact of trade upon appendix-ii species",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the number of parties that have adopted standard procedures for making non detriment findings,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the number and proportion of annual export quotas based on population surveys,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the number of appendix ii species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the number of bilateral and multilateral agreements that specifically provide for co-management of shared cites listed species by range states,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"the number of cooperative management plans, including recovery plans, in place for shared populations of cites listed species",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"the number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, cites listed, species",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Specific information on human-nature relationship,NA
"the number of parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,Governance,Nature-based legislation,National/international cooperation
"the number of parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"the number of parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing cites offences",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the number of parties using risk assessment and intelligence to combat illegal trade in cites-listed species,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"the number of administrative measures, criminal prosecutions and other court actions for cites-related offences",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"the number of parties with national and regional training programmes and information resources in place to implement cites including the making of non-detriment findings, issuance of permits and enforcement",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Specific information on human-nature relationship,NA
the number of parties meeting their obligations with regard to their assessed contributions to the trust fund,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the percentage of the work programme agreed by the conference of the parties that is fully funded,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
"the number of parties with dedicated staff and funding for management authorities, scientific authorities and wildlife trade enforcement agencies",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"the number of parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the number of parties raising funds for cites implementation through user fees or other mechanisms,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
the number of parties using incentive measures as part of their implementation of the convention,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
the number of capacity building activities mandated by resolutions and decisions that are fully funded,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
the number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,Governance,Nature-based funding,National/international cooperation
the number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,Governance,Nature-based funding,National/international cooperation
the number of parties that have been involved in cites awareness raising activities to bring about better awareness by the wider public and relevant user groups of the convention requirements,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,Knowledge systems,Nature-based funding,Specific information on human-nature relationship
the number of visits to the cites website,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Specific information on human-nature relationship,NA
the number of parties with web pages on cites and its requirements,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Specific information on human-nature relationship,NA
"the number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"the number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate cites requirements",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,Governance,Specific information on human-nature relationship,Nature-based legislation
the number of parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,Governance,Specific information on human-nature relationship,National/international cooperation
the conservation status of species listed on the cites appendices has stabilized or improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Change in biodiversity,NA
the number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
the number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,Governance,Nature-based legislation,National/international cooperation
the number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,Governance,Nature-based legislation,National/international cooperation
trends in awareness and attitudes to migratory species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,biodiversity,Information on biodiversity,State of biodiversity
trends in integration of migratory species values in national and sectoral policies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,Governance,Knowledge systems,Nature-based legislation,Information on biodiversity
status of migratory species in trade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,Ecosystem services,Information on biodiversity,Specific monetary valuation of nature contribution
wild commodities index (migratory species),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
proportion of migratory fish stocks in safe biological limits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,biodiversity,Specific mention of sustainable use of species/ecosystems,State of biodiversity
trends in threats to migratory species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
red list index (migratory species),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
red list index (cms-listed bird species),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
red list index (migratory bird species),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
red list index (cms-listed bird and mammal species),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
living planet index (migratory species),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
wild bird index (migratory birds),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
trends in distribution of migratory species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,biodiversity,Knowledge systems,Change in biodiversity,Information on biodiversity
"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,biodiversity,Knowledge systems,Change in biodiversity,Information on biodiversity
